,User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
0,1,basic,10,15-01-22,10-06-23,united states,28,es nan,smartphone,1 month
2,3,,12,28-02-23,27-06-23,united kingdom,42,es nan,smart tv,1 month
3,4,standard,12,10-07-22,26-06-23,australia,51,es nan,laptop,1 month
5,6,premium,15,18-03-22,27-06-23,france,29,es nan,smart tv,1 month
6,7,standard,12,09-12-21,25-06-23,brazil,46,es nan,tablet,1 month
7,8,basic,10,02-04-23,24-06-23,mexico,39,es nan,laptop,1 month
8,9,standard,12,20-10-22,23-06-23,spain,37,es nan,smartphone,1 month
9,10,premium,15,07-01-23,22-06-23,italy,44,es nan,smart tv,1 month
10,11,basic,10,16-05-22,22-06-23,united states,31,es nan,smartphone,1 month
11,12,premium,15,23-03-23,28-06-23,canada,45,es nan,tablet,1 month
12,13,standard,12,30-11-21,27-06-23,united kingdom,48,es nan,laptop,1 month
13,14,basic,10,01-08-22,26-06-23,australia,27,es nan,smartphone,1 month
14,15,standard,12,09-05-23,28-06-23,germany,38,es nan,smart tv,1 month
15,16,premium,15,07-04-22,27-06-23,france,36,es nan,tablet,1 month
16,17,basic,10,24-01-22,25-06-23,brazil,30,es nan,laptop,1 month
17,18,standard,12,18-10-21,24-06-23,mexico,43,es nan,smartphone,1 month
18,19,premium,15,15-02-23,23-06-23,spain,32,es nan,smart tv,1 month
19,20,basic,10,27-05-23,22-06-23,italy,41,es nan,tablet,1 month
20,21,premium,15,10-06-23,22-06-23,united states,26,es nan,laptop,1 month
21,22,basic,10,22-07-22,28-06-23,canada,34,es nan,smartphone,1 month
22,23,standard,12,05-12-21,27-06-23,united kingdom,49,es nan,smart tv,1 month
23,24,standard,12,03-04-22,26-06-23,australia,31,es nan,tablet,1 month
24,25,basic,10,14-03-23,28-06-23,germany,40,es nan,laptop,1 month
25,26,premium,15,12-01-22,27-06-23,france,29,es nan,smartphone,1 month
26,27,basic,10,29-08-22,25-06-23,brazil,47,es nan,smart tv,1 month
27,28,standard,12,27-09-21,24-06-23,mexico,33,es nan,tablet,1 month
28,29,premium,15,19-12-22,23-06-23,spain,36,es nan,laptop,1 month
29,30,basic,10,17-05-23,22-06-23,italy,42,es nan,smartphone,1 month
30,31,premium,15,03-02-23,22-06-23,united states,28,es nan,smart tv,1 month
31,32,basic,10,07-07-22,28-06-23,canada,37,es nan,tablet,1 month
32,33,standard,12,21-01-22,27-06-23,united kingdom,41,es nan,laptop,1 month
33,34,standard,12,25-05-22,26-06-23,australia,29,es nan,smartphone,1 month
34,35,basic,10,11-04-23,28-06-23,germany,39,es nan,smart tv,1 month
35,36,premium,15,01-03-22,27-06-23,france,35,es nan,tablet,1 month
36,37,basic,10,14-09-22,25-06-23,brazil,45,es nan,laptop,1 month
37,38,standard,12,05-11-21,24-06-23,mexico,32,es nan,smartphone,1 month
38,39,premium,15,28-12-22,23-06-23,spain,27,es nan,smart tv,1 month
