,fecha,estadio,teloneros,lugar
0,"Mon, Jun 03, 2024",GROUPAMA STADIUM,with Paramore,Lyon
1,"Fri, Jun 07, 2024",MURRAYFIELD,with Paramore,Edinburgh
2,"Sat, Jun 08, 2024",MURRAYFIELD,with Paramore,Edinburgh
3,"Sun, Jun 09, 2024",MURRAYFIELD,with Paramore,Edinburgh
4,"Thu, Jun 13, 2024",ANFIELD STADIUM,with Paramore,Liverpool
5,"Fri, Jun 14, 2024",ANFIELD STADIUM,with Paramore,Liverpool
6,"Sat, Jun 15, 2024",ANFIELD STADIUM,with Paramore,Liverpool
7,"Tue, Jun 18, 2024",PRINCIPALITY STADIUM,with Paramore,Cardiff
8,"Fri, Jun 21, 2024",WEMBLEY STADIUM,"with Paramore, METTE",London
9,"Sat, Jun 22, 2024",WEMBLEY STADIUM,"with Paramore, Griff",London
10,"Sun, Jun 23, 2024",WEMBLEY STADIUM,"with Paramore, Benson Boone",London
11,"Fri, Jun 28, 2024",AVIVA STADIUM,with Paramore,Dublin
12,"Sat, Jun 29, 2024",AVIVA STADIUM,with Paramore,Dublin
13,"Sun, Jun 30, 2024",AVIVA STADIUM,with Paramore,Dublin
14,"Thu, Jul 04, 2024",JOHAN CRUIJFF ARENA,with Paramore,Amsterdam
15,"Fri, Jul 05, 2024",JOHAN CRUIJFF ARENA,with Paramore,Amsterdam
16,"Sat, Jul 06, 2024",JOHAN CRUIJFF ARENA,with Paramore,Amsterdam
17,"Tue, Jul 09, 2024",LETZIGRUND ZÜRICH,with Paramore,Zürich
18,"Wed, Jul 10, 2024",LETZIGRUND ZÜRICH,with Paramore,Zürich
19,"Sat, Jul 13, 2024",SAN SIRO STADIUM,with Paramore,Milan
20,"Sun, Jun 02, 2024",GROUPAMA STADIUM,with Paramore,Lyon
21,"Sun, Jul 14, 2024",SAN SIRO STADIUM,with Paramore,Milan
22,"Wed, Jul 17, 2024",VELTINS-ARENA,with Paramore,Gelsenkirchen
23,"Thu, Jul 18, 2024",VELTINS-ARENA,with Paramore,Gelsenkirchen
24,"Fri, Jul 19, 2024",VELTINS-ARENA,with Paramore,Gelsenkirchen
25,"Tue, Jul 23, 2024",VOLKSPARKSTADION,with Paramore,Hamburg
26,"Wed, Jul 24, 2024",VOLKSPARKSTADION,with Paramore,Hamburg
27,"Sat, Jul 27, 2024",OLYMPIASTADION,with Paramore,Munich
28,"Sun, Jul 28, 2024",OLYMPIASTADION ,with Paramore,Munich
29,"Thu, Aug 01, 2024",PGE NARODOWY,with Paramore,Warsaw
30,"Fri, Aug 02, 2024",PGE NARODOWY,with Paramore,Warsaw
31,"Sat, Aug 03, 2024",PGE NARODOWY,with Paramore,Warsaw
32,"Thu, Aug 08, 2024",ERNST-HAPPEL-STADION,with Paramore,Vienna
33,"Fri, Aug 09, 2024",ERNST-HAPPEL-STADION,with Paramore,Vienna
34,"Sat, Aug 10, 2024",ERNST-HAPPEL-STADION,with Paramore,Vienna
35,"Thu, Aug 15, 2024",WEMBLEY STADIUM,with Paramore,London
36,"Fri, Aug 16, 2024",WEMBLEY STADIUM,with Paramore,London
37,"Sat, Aug 17, 2024",WEMBLEY STADIUM,with Paramore,London
38,"Mon, Aug 19, 2024",WEMBLEY STADIUM,with Paramore,London
39,"Tue, Aug 20, 2024",WEMBLEY STADIUM,with Paramore,London
40,"Thu, Nov 14, 2024",ROGERS CENTRE,with Gracie Abrams,Toronto
41,"Fri, Nov 15, 2024",ROGERS CENTRE,with Gracie Abrams,Toronto
42,"Sat, Nov 16, 2024",ROGERS CENTRE,with Gracie Abrams,Toronto
43,"Thu, Nov 21, 2024",ROGERS CENTRE,with Gracie Abrams,Toronto
44,"Fri, Nov 22, 2024",ROGERS CENTRE,with Gracie Abrams,Toronto
45,"Sat, Nov 23, 2024",ROGERS CENTRE,with Gracie Abrams,Toronto
46,"Fri, Dec 06, 2024",BC PLACE,with Gracie Abrams,Vancouver
47,"Sat, Dec 07, 2024",BC PLACE,with Gracie Abrams,Vancouver
48,"Sun, Dec 08, 2024",BC PLACE,with Gracie Abrams,Vancouver
